"","brand","price","launchdate"
"1","Matter Electric Bike","Rs. 1.50 Lakh","Launch Date : 21 Nov 2022"
"2","Ultraviolette F77","Rs. 3.50 Lakh","Launch Date : 24 Nov 2022"
"3","Royal Enfield Super Meteor 650","Rs. 3.35 Lakh","Launch Date : 30 Nov 2022"
"4","SVITCH CSR 762","Rs. 1.65 Lakh","Launch Date : 30 Nov 2022"
"5","2022 Bajaj Pulsar N150","Rs. 1.10 Lakh","Launch Date : 30 Nov 2022"
"6","Hero Maestro Xoom 110","Rs. 75,000","Launch Date : 30 Nov 2022"
"7","Emflux Two","Rs. 4.00 Lakh","Launch Date : 9 Dec 2022"
"8","Harley-Davidson 2022 Low Rider S","Rs. 18.50 Lakh","Launch Date : 14 Dec 2022"
"9","BMW F 750 GS","Rs. 12.25 Lakh","Launch Date : 14 Dec 2022"
"10","MV Agusta Brutale 800","Rs. 16.50 Lakh","Launch Date : 14 Dec 2022"
"11","MV Agusta Dragster800 RR","Rs. 19.50 Lakh","Launch Date : 14 Dec 2022"
"12","Vespa Elettrica","Rs. 90,000","Launch Date : 14 Dec 2022"
"13","Yezdi Roadking","Rs. 2.60 Lakh","Launch Date : 15 Dec 2022"
"14","Emote Electric Surge","Rs. 1.00 Lakh","Launch Date : 15 Dec 2022"
"15","Hero Electric AE-29","Rs. 85,000","Launch Date : Dec 2022"
"16","Hero Electric AE-3","Rs. 1.50 Lakh","Launch Date : Dec 2022"
"17","CFMoto Electric Bike","Rs. 2.00 Lakh","Launch Date : Dec 2022"
"18","Revamp Moto RM 25 02","Rs. 55,000","Launch Date : Dec 2022"
"19","TVS Creon","Rs. 1.20 Lakh","Launch Date : Dec 2022"
"20","Benelli 600RR","Rs. 6.50 Lakh","Launch Date : Dec 2022"
"21","CFMoto 250 NK","Rs. 1.75 Lakh","Launch Date : Dec 2022"
"22","Benelli TNT 600","Rs. 7.00 Lakh","Launch Date : Dec 2022"
"23","Husqvarna Vitpilen 401","Rs. 2.80 Lakh","Launch Date : Dec 2022"
"24","Husqvarna Svartpilen 401","Rs. 3.00 Lakh","Launch Date : Dec 2022"
"25","Suzuki GSX-S1000GT","Rs. 13.50 Lakh","Launch Date : Dec 2022"
"26","Ducati DesertX","Rs. 16.00 Lakh","Launch Date : Dec 2022"
"27","Moto Guzzi V9","Rs. 14.00 Lakh","Launch Date : Dec 2022"
"28","Royal Enfield Shotgun 650","Rs. 3.25 Lakh","Launch Date : Dec 2022"
"29","Peugeot Django 125","Rs. 1.40 Lakh","Launch Date : Dec 2022"
"30","CFMoto 300SR","Rs. 2.49 Lakh","Launch Date : Dec 2022"
"31","Honda Rebel 1100","Rs. 12.00 Lakh","Launch Date : Dec 2022"
"32","CFMoto 400GT","Rs. 4.00 Lakh","Launch Date : Dec 2022"
"33","CFMoto Electric Scooter","Rs. 1.70 Lakh","Launch Date : Dec 2022"
"34","KTM 1290 Super Duke R","Rs. 12.50 Lakh","Launch Date : Dec 2022"
"35","Benelli TRK800","Rs. 8.50 Lakh","Launch Date : Jan 2023"
"36","Triumph TE-1","Rs. 15.00 Lakh","Launch Date : Jan 2023"
"37","Everve EF1","Rs. 90,000","Launch Date : Jan 2023"
"38","Hero Electric AE-8","Rs. 70,000","Launch Date : Jan 2023"
"39","Hero eMaestro","Rs. 1.00 Lakh","Launch Date : Jan 2023"
"40","EeVe Forseti","Rs. 1.00 Lakh","Launch Date : Jan 2023"
"41","Trouve Motor Electric Bike","Rs. 10.00 Lakh","Launch Date : Jan 2023"
"42","Revolt RV Cafe Racer","Rs. 1.48 Lakh","Launch Date : Jan 2023"
"43","Benelli Leoncino 800","Rs. 6.50 Lakh","Launch Date : Jan 2023"
"44","Harley Davidson EDT600R Electric Bike","Rs. 6.00 Lakh","Launch Date : Jan 2023"
"45","KTM Electric Scooter","Rs. 1.50 Lakh","Launch Date : Feb 2023"
"46","2023 KTM 390 Duke","Rs. 3.00 Lakh","Launch Date : Feb 2023"
"47","2023 Royal Enfield Bullet 350","Rs. 1.80 Lakh","Launch Date : Feb 2023"
"48","Triumph Bajaj 350","Rs. 2.25 Lakh","Launch Date : Feb 2023"
"49","Triumph Bajaj Scrambler","Rs. 2.50 Lakh","Launch Date : Feb 2023"
"50","Suzuki SV650","Rs. 6.00 Lakh","Launch Date : Feb 2023"
